"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
57,1000,1000,0.1,3,random,mbkmeans,0.974649107976856,2206270.99172041
58,1000,1000,0.1,3,random,mbkmeans,0.994168045746175,2031081.11929217
59,1000,1000,0.1,3,random,mbkmeans,0.997043183783074,2043343.12388945
60,1000,1000,0.1,3,random,mbkmeans,0.993601153109333,2028758.24035017
61,1000,1000,0.1,3,random,mbkmeans,0.986227746735702,2065337.9703317
62,1000,1000,0.1,3,random,mbkmeans,0.98382922055271,1969590.02651808
63,1000,1000,0.1,3,random,mbkmeans,0.984863203275346,2070930.98563404
64,1000,1000,0.1,3,random,mbkmeans,0.987320003958748,2078519.32909804
65,1000,1000,0.1,3,random,mbkmeans,0.984782962903424,2106267.20338287
66,1000,1000,0.1,3,random,mbkmeans,0.984287082950622,2051024.12389404
67,1000,1000,0.1,3,random,mbkmeans,0.997095971166503,2027090.20226316
68,1000,1000,0.1,3,random,mbkmeans,0.99666725483939,2142839.55185848
69,1000,1000,0.1,3,random,mbkmeans,0.996588171246307,2047102.02864109
70,1000,1000,0.1,3,random,mbkmeans,0.996989189202884,2093941.22432444
71,1000,1000,0.1,3,random,mbkmeans,0.986373908173127,2161641.84562888
72,1000,1000,0.1,3,random,mbkmeans,0.977910126306816,2090202.40110947
73,1000,1000,0.1,3,random,mbkmeans,0.98086117687947,2033292.69494974
74,1000,1000,0.1,3,random,mbkmeans,1,1992690.56172514
75,1000,1000,0.1,3,random,mbkmeans,0.993623849341146,2098514.16637913
76,1000,1000,0.1,3,random,mbkmeans,0.983893249808998,2056895.89713073
77,1000,1000,0.1,3,random,mbkmeans,0.993657675087275,2041142.12303601
78,1000,1000,0.1,3,random,mbkmeans,0.983399206066522,2169491.35992019
79,1000,1000,0.1,3,random,mbkmeans,0.993630770418109,2129406.43173246
80,1000,1000,0.1,3,random,mbkmeans,0.993100727049618,1965072.69691115
1,1000,1000,0.2,3,random,mbkmeans,0.980013461996564,2112465.88327873
2,1000,1000,0.2,3,random,mbkmeans,1,2022695.0514148
3,1000,1000,0.2,3,random,mbkmeans,0.993355418995599,1959022.05737455
4,1000,1000,0.2,3,random,mbkmeans,0.990247076716222,1990831.15506477
5,1000,1000,0.2,3,random,mbkmeans,0.990638633854155,2077537.46837458
6,1000,1000,0.2,3,random,mbkmeans,1,2047931.08290575
7,1000,1000,0.2,3,random,mbkmeans,0.986717894726994,2068207.80237039
8,1000,1000,0.2,3,random,mbkmeans,0.99655364902193,2075435.98085204
9,1000,1000,0.2,3,random,mbkmeans,0.984451860733737,2067141.725216
10,1000,1000,0.2,3,random,mbkmeans,0.994004662383501,1929774.22031062
11,1000,1000,0.2,3,random,mbkmeans,0.990749457691589,2107905.40556293
12,1000,1000,0.2,3,random,mbkmeans,0.996576479638988,2004704.187217
13,1000,1000,0.2,3,random,mbkmeans,0.993618269115852,2061607.27968547
14,1000,1000,0.2,3,random,mbkmeans,0.977563838962491,2101074.22495275
15,1000,1000,0.2,3,random,mbkmeans,0.993348204565285,2005174.0260688
16,1000,1000,0.2,3,random,mbkmeans,0.981064213823624,1993249.00940196
17,1000,1000,0.2,3,random,mbkmeans,0.990244547248999,2029659.90849074
18,1000,1000,0.2,3,random,mbkmeans,0.990253969087489,2003450.66245517
19,1000,1000,0.2,3,random,mbkmeans,0.987504033362661,1939035.0585175
