B,observations,genes,batch_size,k,initializer,method,user_time,system_time,elapsed_time,max_iters,num_init
9,1.00E+05,1000,0.001,20,kmeans++,hdf5,48.459,4.299,52.777,10,1
10,1.00E+05,1000,0.001,20,kmeans++,hdf5,52.012,5.435,57.47,10,1
1,1.00E+05,1000,0.01,2,kmeans++,hdf5,52.135,5.403,57.789,10,1
2,1.00E+05,1000,0.01,2,kmeans++,hdf5,40.261,5.656,46.429,10,1
3,1.00E+05,1000,0.01,2,kmeans++,hdf5,43.401,4.082,47.509,10,1
4,1.00E+05,1000,0.01,2,kmeans++,hdf5,33.3,5.393,39.701,10,1
5,1.00E+05,1000,0.01,2,kmeans++,hdf5,56.784,6.843,63.789,10,1
6,1.00E+05,1000,0.01,2,kmeans++,hdf5,38.27,5.288,44.766,10,1
7,1.00E+05,1000,0.01,2,kmeans++,hdf5,38.235,5.361,43.791,10,1
8,1.00E+05,1000,0.01,2,kmeans++,hdf5,31.654,3.898,36.972,10,1
9,1.00E+05,1000,0.01,2,kmeans++,hdf5,33.43,3.637,38.364,10,1
10,1.00E+05,1000,0.01,2,kmeans++,hdf5,35.152,4.785,40.19,10,1
1,1.00E+05,1000,0.01,3,kmeans++,hdf5,47.276,6.453,53.754,10,1
2,1.00E+05,1000,0.01,3,kmeans++,hdf5,33.632,4.994,38.642,10,1
3,1.00E+05,1000,0.01,3,kmeans++,hdf5,49.329,7.25,56.6,10,1
4,1.00E+05,1000,0.01,3,kmeans++,hdf5,35.095,6.177,41.292,10,1
5,1.00E+05,1000,0.01,3,kmeans++,hdf5,46.827,6.414,53.26,10,1
6,1.00E+05,1000,0.01,3,kmeans++,hdf5,36.885,5.905,42.808,10,1
7,1.00E+05,1000,0.01,3,kmeans++,hdf5,37.308,6.008,43.335,10,1
8,1.00E+05,1000,0.01,3,kmeans++,hdf5,35.074,4.682,39.772,10,1
9,1.00E+05,1000,0.01,3,kmeans++,hdf5,35.391,5.018,40.509,10,1
10,1.00E+05,1000,0.01,3,kmeans++,hdf5,47.468,7.189,54.686,10,1
1,1.00E+05,1000,0.01,4,kmeans++,hdf5,34.967,3.77,39.961,10,1
2,1.00E+05,1000,0.01,4,kmeans++,hdf5,33.876,3.702,38.813,10,1
