B,observations,genes,batch_size,k,initializer,method,user_time,system_time,elapsed_time,max_iters,num_init
10,1.00E+05,1000,0.001,20,kmeans++,mbkmeans,31.866,1.081,40.218,1,1
1,1.00E+05,1000,0.01,2,kmeans++,mbkmeans,23.3,0.961,36.524,1,1
2,1.00E+05,1000,0.01,2,kmeans++,mbkmeans,22.062,0.878,23.122,1,1
3,1.00E+05,1000,0.01,2,kmeans++,mbkmeans,23.552,1.144,35.506,1,1
4,1.00E+05,1000,0.01,2,kmeans++,mbkmeans,23.181,0.979,32.991,1,1
5,1.00E+05,1000,0.01,2,kmeans++,mbkmeans,22.421,0.89,24.745,1,1
6,1.00E+05,1000,0.01,2,kmeans++,mbkmeans,22.301,0.955,28.446,1,1
7,1.00E+05,1000,0.01,2,kmeans++,mbkmeans,23.396,1.068,33.906,1,1
8,1.00E+05,1000,0.01,2,kmeans++,mbkmeans,22.674,0.993,29.814,1,1
9,1.00E+05,1000,0.01,2,kmeans++,mbkmeans,23.034,0.964,31.587,1,1
10,1.00E+05,1000,0.01,2,kmeans++,mbkmeans,22.667,0.916,30.25,1,1
1,1.00E+05,1000,0.01,3,kmeans++,mbkmeans,24.294,1.018,36.413,1,1
2,1.00E+05,1000,0.01,3,kmeans++,mbkmeans,24.015,1.001,33.412,1,1
3,1.00E+05,1000,0.01,3,kmeans++,mbkmeans,23.174,1.021,27.003,1,1
4,1.00E+05,1000,0.01,3,kmeans++,mbkmeans,23.953,1.061,27.569,1,1
5,1.00E+05,1000,0.01,3,kmeans++,mbkmeans,23.962,1.048,30.885,1,1
6,1.00E+05,1000,0.01,3,kmeans++,mbkmeans,23.509,0.971,25.252,1,1
7,1.00E+05,1000,0.01,3,kmeans++,mbkmeans,24.433,0.972,32.737,1,1
8,1.00E+05,1000,0.01,3,kmeans++,mbkmeans,23.669,1.018,27.717,1,1
9,1.00E+05,1000,0.01,3,kmeans++,mbkmeans,24.13,1.11,33.289,1,1
10,1.00E+05,1000,0.01,3,kmeans++,mbkmeans,24.425,1.003,35.238,1,1
1,1.00E+05,1000,0.01,4,kmeans++,mbkmeans,25.18,1.315,30.597,1,1
2,1.00E+05,1000,0.01,4,kmeans++,mbkmeans,25.248,1.255,30.371,1,1
3,1.00E+05,1000,0.01,4,kmeans++,mbkmeans,24.147,1.174,35.229,1,1
4,1.00E+05,1000,0.01,4,kmeans++,mbkmeans,25.091,1.216,28.487,1,1
5,1.00E+05,1000,0.01,4,kmeans++,mbkmeans,24.15,1.171,35.776,1,1
6,1.00E+05,1000,0.01,4,kmeans++,mbkmeans,24.995,1.201,32.974,1,1
7,1.00E+05,1000,0.01,4,kmeans++,mbkmeans,23.981,1.093,40.319,1,1
8,1.00E+05,1000,0.01,4,kmeans++,mbkmeans,25.121,1.222,30.114,1,1
9,1.00E+05,1000,0.01,4,kmeans++,mbkmeans,23.852,1.164,35.341,1,1
10,1.00E+05,1000,0.01,4,kmeans++,mbkmeans,23.881,1.067,36.714,1,1
1,1.00E+05,1000,0.01,5,kmeans++,mbkmeans,24.579,1.065,28.608,1,1
2,1.00E+05,1000,0.01,5,kmeans++,mbkmeans,25.426,0.963,35.33,1,1
3,1.00E+05,1000,0.01,5,kmeans++,mbkmeans,24.993,1.009,33.757,1,1
4,1.00E+05,1000,0.01,5,kmeans++,mbkmeans,25.76,0.94,36.049,1,1
5,1.00E+05,1000,0.01,5,kmeans++,mbkmeans,25.298,0.946,36.512,1,1
6,1.00E+05,1000,0.01,5,kmeans++,mbkmeans,25.268,0.949,37.725,1,1
7,1.00E+05,1000,0.01,5,kmeans++,mbkmeans,25.185,0.974,34.116,1,1
8,1.00E+05,1000,0.01,5,kmeans++,mbkmeans,24.628,0.997,33.854,1,1
9,1.00E+05,1000,0.01,5,kmeans++,mbkmeans,25.048,1.005,31.132,1,1
10,1.00E+05,1000,0.01,5,kmeans++,mbkmeans,25.277,0.992,36.486,1,1
1,1.00E+05,1000,0.01,6,kmeans++,mbkmeans,25.686,1.043,30.137,1,1
2,1.00E+05,1000,0.01,6,kmeans++,mbkmeans,27.241,1.038,42.336,1,1
3,1.00E+05,1000,0.01,6,kmeans++,mbkmeans,26.318,1.083,35.965,1,1
4,1.00E+05,1000,0.01,6,kmeans++,mbkmeans,26.316,1.188,39.589,1,1
5,1.00E+05,1000,0.01,6,kmeans++,mbkmeans,26.349,1.158,38.563,1,1
6,1.00E+05,1000,0.01,6,kmeans++,mbkmeans,26.476,1.15,43.338,1,1
7,1.00E+05,1000,0.01,6,kmeans++,mbkmeans,26.491,1.32,41.278,1,1
8,1.00E+05,1000,0.01,6,kmeans++,mbkmeans,26.397,1.065,41.043,1,1
9,1.00E+05,1000,0.01,6,kmeans++,mbkmeans,25.93,1.191,39.414,1,1
10,1.00E+05,1000,0.01,6,kmeans++,mbkmeans,26.757,1.133,41.383,1,1
1,1.00E+05,1000,0.01,7,kmeans++,mbkmeans,25.965,1.057,30.874,1,1
2,1.00E+05,1000,0.01,7,kmeans++,mbkmeans,25.795,1.021,38.22,1,1
3,1.00E+05,1000,0.01,7,kmeans++,mbkmeans,26.872,1.062,30.392,1,1
4,1.00E+05,1000,0.01,7,kmeans++,mbkmeans,26.056,1.069,38.127,1,1
5,1.00E+05,1000,0.01,7,kmeans++,mbkmeans,25.952,1.094,27.726,1,1
6,1.00E+05,1000,0.01,7,kmeans++,mbkmeans,26.317,0.96,37.333,1,1
7,1.00E+05,1000,0.01,7,kmeans++,mbkmeans,25.928,1.126,30.731,1,1
8,1.00E+05,1000,0.01,7,kmeans++,mbkmeans,25.756,1.05,27.745,1,1
9,1.00E+05,1000,0.01,7,kmeans++,mbkmeans,26.513,0.983,38.062,1,1
10,1.00E+05,1000,0.01,7,kmeans++,mbkmeans,26.263,0.981,37.067,1,1
1,1.00E+05,1000,0.01,8,kmeans++,mbkmeans,27.133,1.133,30.834,1,1
2,1.00E+05,1000,0.01,8,kmeans++,mbkmeans,27.77,1.178,33.83,1,1
