B,observations,genes,batch_size,k,initializer,method,user_time,system_time,elapsed_time,max_iters,num_init
5,1.00E+05,1000,0.01,15,random,kmeans,216.284,7.14,238.68,10,1
6,1.00E+05,1000,0.01,15,random,kmeans,257.966,6.943,284.664,10,1
7,1.00E+05,1000,0.01,15,random,kmeans,271.816,7.136,315.759,10,1
8,1.00E+05,1000,0.01,15,random,kmeans,261.027,6.838,297.884,10,1
9,1.00E+05,1000,0.01,15,random,kmeans,252.212,6.746,297.681,10,1
10,1.00E+05,1000,0.01,15,random,kmeans,246.425,6.988,297.831,10,1
1,1.00E+05,1000,0.01,16,random,kmeans,259.492,6.571,302.39,10,1
2,1.00E+05,1000,0.01,16,random,kmeans,220.256,7.338,248.515,10,1
3,1.00E+05,1000,0.01,16,random,kmeans,259.902,7.392,287.975,10,1
4,1.00E+05,1000,0.01,16,random,kmeans,251.144,7.075,280.301,10,1
5,1.00E+05,1000,0.01,16,random,kmeans,259.861,5.938,290.832,10,1
6,1.00E+05,1000,0.01,16,random,kmeans,256.388,5.949,297.972,10,1
7,1.00E+05,1000,0.01,16,random,kmeans,246.634,6.503,293.046,10,1
8,1.00E+05,1000,0.01,16,random,kmeans,229.493,6.233,247.141,10,1
9,1.00E+05,1000,0.01,16,random,kmeans,253.077,6.719,302.296,10,1
10,1.00E+05,1000,0.01,16,random,kmeans,254.725,6.035,298.083,10,1
1,1.00E+05,1000,0.01,17,random,kmeans,265.462,6.928,294.595,10,1
2,1.00E+05,1000,0.01,17,random,kmeans,276.621,6.416,311.572,10,1
3,1.00E+05,1000,0.01,17,random,kmeans,263.653,6.897,294.479,10,1
4,1.00E+05,1000,0.01,17,random,kmeans,266.573,6.103,298.26,10,1
5,1.00E+05,1000,0.01,17,random,kmeans,257.388,6.102,288.776,10,1
6,1.00E+05,1000,0.01,17,random,kmeans,268.609,6.816,302.129,10,1
7,1.00E+05,1000,0.01,17,random,kmeans,219.535,6.475,247.037,10,1
8,1.00E+05,1000,0.01,17,random,kmeans,258.967,7.074,281.58,10,1
9,1.00E+05,1000,0.01,17,random,kmeans,264.17,6.885,287.94,10,1
10,1.00E+05,1000,0.01,17,random,kmeans,287.365,6.214,322.48,10,1
1,1.00E+05,1000,0.01,18,random,kmeans,276.308,6.439,306.797,10,1
2,1.00E+05,1000,0.01,18,random,kmeans,266.727,6.222,294.24,10,1
3,1.00E+05,1000,0.01,18,random,kmeans,245.853,5.723,270.369,10,1
4,1.00E+05,1000,0.01,18,random,kmeans,266.791,5.973,298.14,10,1
5,1.00E+05,1000,0.01,18,random,kmeans,247.331,6.883,270.418,10,1
6,1.00E+05,1000,0.01,18,random,kmeans,271.386,6.925,295.165,10,1
7,1.00E+05,1000,0.01,18,random,kmeans,233.625,6.934,260.57,10,1
8,1.00E+05,1000,0.01,18,random,kmeans,271.785,5.871,294.081,10,1
9,1.00E+05,1000,0.01,18,random,kmeans,250.096,6.392,279.721,10,1
10,1.00E+05,1000,0.01,18,random,kmeans,266.952,5.971,289.097,10,1
1,1.00E+05,1000,0.01,19,random,kmeans,205.732,5.201,211.035,10,1
2,1.00E+05,1000,0.01,19,random,kmeans,235.029,5.856,241.106,10,1
3,1.00E+05,1000,0.01,19,random,kmeans,215.07,5.36,220.821,10,1
4,1.00E+05,1000,0.01,19,random,kmeans,233.969,5.05,239.153,10,1
5,1.00E+05,1000,0.01,19,random,kmeans,217.005,4.906,222.04,10,1
6,1.00E+05,1000,0.01,19,random,kmeans,201.638,5.158,206.844,10,1
7,1.00E+05,1000,0.01,19,random,kmeans,214.332,4.913,219.317,10,1
8,1.00E+05,1000,0.01,19,random,kmeans,210.343,5.498,216.333,10,1
9,1.00E+05,1000,0.01,19,random,kmeans,215.413,4.49,220.03,10,1
10,1.00E+05,1000,0.01,19,random,kmeans,207.094,5.423,212.612,10,1
1,1.00E+05,1000,0.01,20,random,kmeans,236.224,6.401,242.777,10,1
2,1.00E+05,1000,0.01,20,random,kmeans,257.771,6.487,264.337,10,1
3,1.00E+05,1000,0.01,20,random,kmeans,274.835,7.559,282.544,10,1
4,1.00E+05,1000,0.01,20,random,kmeans,258.871,6.084,265.199,10,1
5,1.00E+05,1000,0.01,20,random,kmeans,267.513,6.751,274.752,10,1
6,1.00E+05,1000,0.01,20,random,kmeans,250.276,7.519,258.748,10,1
7,1.00E+05,1000,0.01,20,random,kmeans,242.854,6.565,250.036,10,1
8,1.00E+05,1000,0.01,20,random,kmeans,228.334,5.914,234.314,10,1
9,1.00E+05,1000,0.01,20,random,kmeans,233.115,6.705,239.908,10,1
10,1.00E+05,1000,0.01,20,random,kmeans,258.613,6.029,264.83,10,1
1,1.00E+05,1000,0.1,2,random,kmeans,147.171,6.493,153.734,10,1
2,1.00E+05,1000,0.1,2,random,kmeans,139.216,6.389,145.638,10,1
3,1.00E+05,1000,0.1,2,random,kmeans,132.635,5.639,138.34,10,1
4,1.00E+05,1000,0.1,2,random,kmeans,170.885,5.499,176.429,10,1
5,1.00E+05,1000,0.1,2,random,kmeans,131.549,6.068,137.791,10,1
6,1.00E+05,1000,0.1,2,random,kmeans,160.15,6.452,166.736,10,1
7,1.00E+05,1000,0.1,2,random,kmeans,120.183,7.137,127.366,10,1
8,1.00E+05,1000,0.1,2,random,kmeans,137.688,6.172,144.016,10,1
9,1.00E+05,1000,0.1,2,random,kmeans,141.522,7.375,148.958,10,1
10,1.00E+05,1000,0.1,2,random,kmeans,121.311,7.422,128.765,10,1
1,1.00E+05,1000,0.1,3,random,kmeans,122.044,5.419,127.528,10,1
2,1.00E+05,1000,0.1,3,random,kmeans,126.028,6.177,132.728,10,1
3,1.00E+05,1000,0.1,3,random,kmeans,136.605,7.194,143.886,10,1
4,1.00E+05,1000,0.1,3,random,kmeans,141.636,7.027,148.825,10,1
5,1.00E+05,1000,0.1,3,random,kmeans,113.168,5.037,118.626,10,1
6,1.00E+05,1000,0.1,3,random,kmeans,139.649,7.986,147.67,10,1
7,1.00E+05,1000,0.1,3,random,kmeans,142.636,8.31,151.09,10,1
8,1.00E+05,1000,0.1,3,random,kmeans,135.844,6.418,142.756,10,1
9,1.00E+05,1000,0.1,3,random,kmeans,125.429,5.749,131.21,10,1
10,1.00E+05,1000,0.1,3,random,kmeans,136.531,7.712,144.583,10,1
1,1.00E+05,1000,0.1,4,random,kmeans,141.596,5.581,147.745,10,1
2,1.00E+05,1000,0.1,4,random,kmeans,133.061,6.223,140.549,10,1
3,1.00E+05,1000,0.1,4,random,kmeans,130.756,6.392,138.456,10,1
4,1.00E+05,1000,0.1,4,random,kmeans,135.432,5.259,140.815,10,1
5,1.00E+05,1000,0.1,4,random,kmeans,151.346,4.816,156.296,10,1
6,1.00E+05,1000,0.1,4,random,kmeans,158.347,5.498,163.986,10,1
7,1.00E+05,1000,0.1,4,random,kmeans,138.006,5.496,144.039,10,1
8,1.00E+05,1000,0.1,4,random,kmeans,138.517,4.944,143.52,10,1
9,1.00E+05,1000,0.1,4,random,kmeans,143.116,5.716,148.931,10,1
10,1.00E+05,1000,0.1,4,random,kmeans,151.786,4.584,156.416,10,1
1,1.00E+05,1000,0.1,5,random,kmeans,149.304,5.795,155.168,10,1
2,1.00E+05,1000,0.1,5,random,kmeans,152.238,4.917,158.564,10,1
3,1.00E+05,1000,0.1,5,random,kmeans,157.429,5.79,163.275,10,1
4,1.00E+05,1000,0.1,5,random,kmeans,130.662,5.455,136.147,10,1
5,1.00E+05,1000,0.1,5,random,kmeans,151.744,5.307,157.447,10,1
6,1.00E+05,1000,0.1,5,random,kmeans,161.77,5.737,168.031,10,1
7,1.00E+05,1000,0.1,5,random,kmeans,139.907,5.642,145.587,10,1
8,1.00E+05,1000,0.1,5,random,kmeans,153.116,5.133,158.295,10,1
9,1.00E+05,1000,0.1,5,random,kmeans,149.477,5.569,155.114,10,1
10,1.00E+05,1000,0.1,5,random,kmeans,148.567,5.689,154.302,10,1
