"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
3,1000,1000,1,3,random,mbkmeans,0.993237159829748,2093509.86905229
4,1000,1000,1,3,random,mbkmeans,0.98391959251377,1953602.18050084
5,1000,1000,1,3,random,mbkmeans,0.993608274066574,1928488.67315119
6,1000,1000,1,3,random,mbkmeans,0.993604813803828,2005632.69831054
7,1000,1000,1,3,random,mbkmeans,0.978010449263866,1967259.59759288
8,1000,1000,1,3,random,mbkmeans,0.977017033538306,1970258.61282557
9,1000,1000,1,3,random,mbkmeans,0.983954567155134,2052992.06504442
10,1000,1000,1,3,random,mbkmeans,0.983058797383667,1965810.83368876
11,1000,1000,1,3,random,mbkmeans,0.981004196602544,1992579.56305445
12,1000,1000,1,3,random,mbkmeans,0.99306411088228,1987991.46916826
13,1000,1000,1,3,random,mbkmeans,0.976783091391893,2117303.32590354
14,1000,1000,1,3,random,mbkmeans,0.990220667875039,1961852.42397362
15,1000,1000,1,3,random,mbkmeans,1,1961805.02854093
16,1000,1000,1,3,random,mbkmeans,0.993199419263515,2108216.62478248
17,1000,1000,1,3,random,mbkmeans,0.990275593396231,1933920.29215471
18,1000,1000,1,3,random,mbkmeans,0.983790345632582,1950527.68363587
19,1000,1000,1,3,random,mbkmeans,0.996618270383051,2021969.4130892
20,1000,1000,1,3,random,mbkmeans,0.990279704699778,1957478.73212105
1,5000,1000,0.005,3,random,mbkmeans,0.989740137332873,10993596.7584479
2,5000,1000,0.005,3,random,mbkmeans,0.981440678406308,11423514.6306935
3,5000,1000,0.005,3,random,mbkmeans,0.992805531709564,11141166.4924416
4,5000,1000,0.005,3,random,mbkmeans,0.986295687291896,10849284.7976231
5,5000,1000,0.005,3,random,mbkmeans,0.988900834862626,11332992.4693606
6,5000,1000,0.005,3,random,mbkmeans,0.989302305602132,10664494.1566767
7,5000,1000,0.005,3,random,mbkmeans,0.993051076214667,11415465.0980403
8,5000,1000,0.005,3,random,mbkmeans,0.990276718678053,16733166.6993838
9,5000,1000,0.005,3,random,mbkmeans,0.988985616114119,11232009.5284687
10,5000,1000,0.005,3,random,mbkmeans,0.987457418747292,11009393.4989486
11,5000,1000,0.005,3,random,mbkmeans,0.983118809032943,11552124.5925263
12,5000,1000,0.005,3,random,mbkmeans,0.987919899794653,10864504.9333786
13,5000,1000,0.005,3,random,mbkmeans,0.991184159682494,10716155.3277068
14,5000,1000,0.005,3,random,mbkmeans,0.98898556559792,11830859.6930604
15,5000,1000,0.005,3,random,mbkmeans,0.99603017283548,11213429.4002026
16,5000,1000,0.005,3,random,mbkmeans,0.966955418726478,13828898.7706326
