"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
17,2000,1000,0.2,3,random,kmeans,0.991745138253841,3919600.20577462
18,2000,1000,0.2,3,random,kmeans,0.987088661194938,3956271.86629695
19,2000,1000,0.2,3,random,kmeans,0.98903125018838,4187852.38601692
20,2000,1000,0.2,3,random,kmeans,0.998529696042596,3860634.5445936
1,2000,1000,0.35,3,random,kmeans,0.980469940252794,3976101.62471352
2,2000,1000,0.35,3,random,kmeans,0.995119231701325,3889938.99335169
3,2000,1000,0.35,3,random,kmeans,0.985352889418115,4031764.35125471
4,2000,1000,0.35,3,random,kmeans,0.987082882325907,4057547.02661665
5,2000,1000,0.35,3,random,kmeans,0.990249506611066,3950235.21437434
6,2000,1000,0.35,3,random,kmeans,0.993645058656412,4059159.17351318
7,2000,1000,0.35,3,random,kmeans,0.995306434289469,4097645.01717826
8,2000,1000,0.35,3,random,kmeans,0.989235039840595,4063276.30062981
9,2000,1000,0.35,3,random,kmeans,0.989994780021535,4172023.52810355
10,2000,1000,0.35,3,random,kmeans,0.993642754737054,3865468.37634873
11,2000,1000,0.35,3,random,kmeans,0.985142564360035,3960939.15107247
12,2000,1000,0.35,3,random,kmeans,0.992391946614582,3958898.80736443
13,2000,1000,0.35,3,random,kmeans,0.993830299978454,3915437.04317549
14,2000,1000,0.35,3,random,kmeans,0.993643555580363,3876893.39631587
15,2000,1000,0.35,3,random,kmeans,0.983301127043949,4092110.01617716
16,2000,1000,0.35,3,random,kmeans,0.980522881283399,3899384.33772979
17,2000,1000,0.35,3,random,kmeans,0.983932995440268,4164021.24679455
18,2000,1000,0.35,3,random,kmeans,0.979001030424411,4046482.2432712
19,2000,1000,0.35,3,random,kmeans,0.987647809877631,3828012.29377006
20,2000,1000,0.35,3,random,kmeans,0.985356349001713,3874610.1400205
1,2000,1000,0.5,3,random,kmeans,0.997326851477206,3931061.59192714
2,2000,1000,0.5,3,random,kmeans,0.993653713481288,4019907.02109315
3,2000,1000,0.5,3,random,kmeans,0.98539294292916,4035572.20814666
