"B","observations","genes","batch_size","k","initializer","method","ARI","WCSS"
1,2000,1000,0.35,3,random,hdf5,0.981984516839217,3934023.29518024
2,2000,1000,0.35,3,random,hdf5,0.995102639727761,3869285.90161597
3,2000,1000,0.35,3,random,hdf5,0.996816225565586,3986583.82896956
4,2000,1000,0.35,3,random,hdf5,0.989417262834039,3891502.56493745
5,2000,1000,0.35,3,random,hdf5,0.992221983625156,4081570.26850076
6,2000,1000,0.35,3,random,hdf5,0.982444145088101,4018450.09161659
7,2000,1000,0.35,3,random,hdf5,0.985177484063912,3990355.64103878
8,2000,1000,0.35,3,random,hdf5,0.98687211085032,4059904.88104096
9,2000,1000,0.35,3,random,hdf5,0.980987129549546,4218821.80503554
10,2000,1000,0.35,3,random,hdf5,0.990247670861775,4029077.05489862
11,2000,1000,0.35,3,random,hdf5,0.984361080957193,4118475.13359555
12,2000,1000,0.35,3,random,hdf5,0.986886152022133,4250592.14723814
13,2000,1000,0.35,3,random,hdf5,0.995091490253028,3905569.66503104
14,2000,1000,0.35,3,random,hdf5,0.993428280383701,3922656.54632935
15,2000,1000,0.35,3,random,hdf5,0.99259043685227,3961814.03843166
16,2000,1000,0.35,3,random,hdf5,0.994466407754406,4107181.08756283
17,2000,1000,0.35,3,random,hdf5,0.991933062910851,3942198.47593218
18,2000,1000,0.35,3,random,hdf5,0.99391597383641,3991717.37384431
19,2000,1000,0.35,3,random,hdf5,0.990238696473129,3895650.06781347
20,2000,1000,0.35,3,random,hdf5,0.992827528782465,3861331.77248241
1,2000,1000,0.5,3,random,hdf5,0.990236251498628,4253474.19716811
2,2000,1000,0.5,3,random,hdf5,0.988042469077351,3915345.24051728
3,2000,1000,0.5,3,random,hdf5,0.992149004021877,3856612.09716058
4,2000,1000,0.5,3,random,hdf5,0.995577900102837,4023185.29370799
5,2000,1000,0.5,3,random,hdf5,0.991964034111403,4086386.71119607
6,2000,1000,0.5,3,random,hdf5,0.990257946150144,3804797.14065057
7,2000,1000,0.5,3,random,hdf5,0.988779590359087,3993421.93207116
8,2000,1000,0.5,3,random,hdf5,0.990193228641652,3925314.01063775
9,2000,1000,0.5,3,random,hdf5,0.98832159750869,4126631.99722879
10,2000,1000,0.5,3,random,hdf5,0.993806791443879,4110386.32574489
11,2000,1000,0.5,3,random,hdf5,0.992144629429895,4076546.14736753
12,2000,1000,0.5,3,random,hdf5,0.985212706852146,4241893.97735147
13,2000,1000,0.5,3,random,hdf5,0.992093977119381,3927065.91361225
14,2000,1000,0.5,3,random,hdf5,0.983924172704639,3965673.83790715
15,2000,1000,0.5,3,random,hdf5,0.988326322598575,4015476.67891202
16,2000,1000,0.5,3,random,hdf5,0.991726225990862,4074107.02028434
17,2000,1000,0.5,3,random,hdf5,0.987065562789291,3955399.59792426
