observations,genes,batch size,abs batch size,memory,geometry,dimension_1,dimension_2,calc_label,,,,,,,,
500000,5000,0.003,1500,19648.57193,best,5000,1,TRUE,mbkmeans,,,,,,,
500000,5000,0.001,500,17265.37883,best,5000,1,FALSE,,,,,,,,
500000,5000,0.006,3000,28168.69147,best,5000,1,full,mbkmeans,,,,,,,
500000,5000,0.006,3000,28145.33459,best,5000,1,FALSE,mbkmeans,,,,,,,
500000,5000,0.006,3000,19648.57193,best,5000,1,TRUE,mbkmeans,,,,,,,
500000,5000,0.01,5000,28184.18527,best,5000,1,full,mbkmeans,,,,,,,
500000,5000,0.01,5000,28109.31056,best,5000,1,FALSE,mbkmeans,,,,,,,
500000,5000,0.001,500,1866.513114,best,5000,1,TRUE,,,,,,,,
500000,5000,0.002,1000,17265.37876,best,5000,1,full,,,,,,,,
500000,5000,0.002,1000,17265.37883,best,5000,1,FALSE,,,,,,,,
500000,5000,0.01,5000,19648.57193,best,5000,1,TRUE,mbkmeans,,,,,,,
500000,5000,0.015,7500,28172.20123,best,5000,1,full,mbkmeans,,,,,,,
500000,5000,0.015,7500,28091.29854,best,5000,1,FALSE,mbkmeans,,,,,,,
500000,5000,0.015,7500,19648.57193,best,5000,1,TRUE,mbkmeans,,,,,,,
500000,5000,0.02,10000,28512.69035,best,5000,1,full,mbkmeans,,,,,,,
500000,5000,0.02,10000,28512.69042,best,5000,1,FALSE,mbkmeans,,,,,,,
500000,5000,0.002,1000,1866.513114,best,5000,1,TRUE,,,,,,,,
500000,5000,0.003,1500,17265.37876,best,5000,1,full,,,,,,,,
500000,5000,0.003,1500,17265.37883,best,5000,1,FALSE,,,,,,,,
500000,5000,0.02,10000,19648.57193,best,5000,1,TRUE,mbkmeans,,,,,,,
500000,5000,0.003,1500,1866.513114,best,5000,1,TRUE,,,,,,,,
500000,5000,0.006,3000,17265.37876,best,5000,1,full,,,,,,,,
500000,5000,0.006,3000,17265.37883,best,5000,1,FALSE,,,,,,,,
500000,5000,0.006,3000,1866.513114,best,5000,1,TRUE,,,,,,,,
500000,5000,0.01,5000,17265.37876,best,5000,1,full,,,,,,,,
500000,5000,0.01,5000,17265.37883,best,5000,1,FALSE,,,,,,,,
500000,5000,0.01,5000,1866.513114,best,5000,1,TRUE,,,,,,,,
500000,5000,0.015,7500,17265.37876,best,5000,1,full,,,,,,,,
500000,5000,0.015,7500,17265.37883,best,5000,1,FALSE,,,,,,,,
500000,5000,0.015,7500,1866.513114,best,5000,1,TRUE,,,,,,,,
500000,5000,0.02,10000,17265.37876,best,5000,1,full,,,,,,,,
500000,5000,0.02,10000,17265.37883,best,5000,1,FALSE,,,,,,,,
500000,5000,0.02,10000,1866.513114,best,5000,1,TRUE,,,,,,,,
end…,,,,,,,,,,,,,,,,
