observations,genes,batch size,abs batch size,time,geometry,dimension_1,dimension_2,,,,,,,,,,,,,,,,,,,,,,,,,
end…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000,5000,0.00015,75,7.547,362.484,7705.751,best,5000,1,two steps
500000,5000,3e-04,150,6.387,273.798,7097.354,best,5000,1,two steps
500000,5000,6e-04,300,6.571,372.336,8704.726,best,5000,1,two steps
500000,5000,0.001,500,6.226,318.161,7171.868,best,5000,1,two steps
500000,5000,0.002,1000,6.31,310.736,8116.512,best,5000,1,two steps
500000,5000,0.003,1500,6.206,293.113,7312.32,best,5000,1,two steps
500000,5000,0.006,3000,6.288,441.017,8011.07,best,5000,1,two steps
500000,5000,0.01,5000,6.339,431.938,8485.777,best,5000,1,two steps
500000,5000,0.015,7500,6.278,760.536,7729.994,best,5000,1,two steps
500000,5000,0.02,10000,8.115,896.387,7930.215,best,5000,1,two steps
