"B","observations","genes","abs_batch","k","method","WCSS"
21,10000,1000,500,15,ClusterR,249612021.678425
22,10000,1000,500,15,ClusterR,339108951.632228
23,10000,1000,500,15,ClusterR,283281768.586633
24,10000,1000,500,15,ClusterR,246452228.682644
25,10000,1000,500,15,ClusterR,445872032.046213
26,10000,1000,500,15,ClusterR,278993437.099032
27,10000,1000,500,15,ClusterR,248931509.09316
28,10000,1000,500,15,ClusterR,461317814.369907
29,10000,1000,500,15,ClusterR,254570881.060641
30,10000,1000,500,15,ClusterR,414860582.248193
31,10000,1000,500,15,ClusterR,352481352.307793
32,10000,1000,500,15,ClusterR,355680268.424826
33,10000,1000,500,15,ClusterR,568294332.139854
34,10000,1000,500,15,ClusterR,257147343.314777
35,10000,1000,500,15,ClusterR,365638774.739399
36,10000,1000,500,15,ClusterR,282137650.230993
37,10000,1000,500,15,ClusterR,375708360.822241
38,10000,1000,500,15,ClusterR,258033879.958966
39,10000,1000,500,15,ClusterR,335891795.950683
40,10000,1000,500,15,ClusterR,307185720.894567
41,10000,1000,500,15,ClusterR,304818443.52836
42,10000,1000,500,15,ClusterR,340847531.911641
43,10000,1000,500,15,ClusterR,286411954.973925
44,10000,1000,500,15,ClusterR,344405119.401627
45,10000,1000,500,15,ClusterR,366644073.951108
46,10000,1000,500,15,ClusterR,326219093.103039
47,10000,1000,500,15,ClusterR,331321430.971688
48,10000,1000,500,15,ClusterR,268807352.346087
49,10000,1000,500,15,ClusterR,278617397.553895
50,10000,1000,500,15,ClusterR,358462325.438766
1,10000,1000,750,15,ClusterR,394298384.519638
2,10000,1000,750,15,ClusterR,311549596.692069
3,10000,1000,750,15,ClusterR,254115330.388793
4,10000,1000,750,15,ClusterR,285647818.511119
5,10000,1000,750,15,ClusterR,265584188.594918
6,10000,1000,750,15,ClusterR,336323638.815982
7,10000,1000,750,15,ClusterR,286268672.752822
8,10000,1000,750,15,ClusterR,259228301.136038
9,10000,1000,750,15,ClusterR,249567062.733371
10,10000,1000,750,15,ClusterR,305558566.304236
11,10000,1000,750,15,ClusterR,378982294.437075
12,10000,1000,750,15,ClusterR,306664962.577515
13,10000,1000,750,15,ClusterR,248333583.098393
14,10000,1000,750,15,ClusterR,315641460.408759
15,10000,1000,750,15,ClusterR,306687337.855509
16,10000,1000,750,15,ClusterR,307354740.2459
17,10000,1000,750,15,ClusterR,255360691.869235
18,10000,1000,750,15,ClusterR,253129803.25453
19,10000,1000,750,15,ClusterR,263265077.015803
20,10000,1000,750,15,ClusterR,261688995.499372
21,10000,1000,750,15,ClusterR,348252877.144783
22,10000,1000,750,15,ClusterR,303497529.35753
23,10000,1000,750,15,ClusterR,320613717.815275
24,10000,1000,750,15,ClusterR,245391560.188407
25,10000,1000,750,15,ClusterR,333057466.244006
26,10000,1000,750,15,ClusterR,303253671.484841
27,10000,1000,750,15,ClusterR,314661017.939182
28,10000,1000,750,15,ClusterR,327561745.036223
29,10000,1000,750,15,ClusterR,364376040.262921
30,10000,1000,750,15,ClusterR,324944568.901256
31,10000,1000,750,15,ClusterR,363471198.075635
32,10000,1000,750,15,ClusterR,314418989.051822
33,10000,1000,750,15,ClusterR,278141277.593507
34,10000,1000,750,15,ClusterR,268497818.080708
35,10000,1000,750,15,ClusterR,314105023.193815
36,10000,1000,750,15,ClusterR,320274153.810728
37,10000,1000,750,15,ClusterR,314108134.577685
38,10000,1000,750,15,ClusterR,344309035.786026
39,10000,1000,750,15,ClusterR,266155036.116948
40,10000,1000,750,15,ClusterR,295710064.328641
41,10000,1000,750,15,ClusterR,260961161.673213
42,10000,1000,750,15,ClusterR,344636763.798482
43,10000,1000,750,15,ClusterR,326684946.89928
44,10000,1000,750,15,ClusterR,304883937.395561
45,10000,1000,750,15,ClusterR,260210102.118795
46,10000,1000,750,15,ClusterR,316582441.065659
47,10000,1000,750,15,ClusterR,302271650.047696
48,10000,1000,750,15,ClusterR,249566385.520524
49,10000,1000,750,15,ClusterR,308577418.251391
50,10000,1000,750,15,ClusterR,264151708.759213
1,10000,1000,1000,15,ClusterR,351803224.403066
2,10000,1000,1000,15,ClusterR,270663948.253353
3,10000,1000,1000,15,ClusterR,372573949.955407
4,10000,1000,1000,15,ClusterR,304379138.14968
5,10000,1000,1000,15,ClusterR,511194421.933682
6,10000,1000,1000,15,ClusterR,329006513.137402
7,10000,1000,1000,15,ClusterR,305568816.321285
8,10000,1000,1000,15,ClusterR,253107867.733171
9,10000,1000,1000,15,ClusterR,381908842.475383
10,10000,1000,1000,15,ClusterR,315681087.423194
11,10000,1000,1000,15,ClusterR,339087640.312039
12,10000,1000,1000,15,ClusterR,257788403.413833
13,10000,1000,1000,15,ClusterR,256293315.703967
14,10000,1000,1000,15,ClusterR,339611834.943427
15,10000,1000,1000,15,ClusterR,318207235.396415
16,10000,1000,1000,15,ClusterR,305135441.67584
17,10000,1000,1000,15,ClusterR,268547356.467996
18,10000,1000,1000,15,ClusterR,262653485.052052
19,10000,1000,1000,15,ClusterR,311403021.850212
20,10000,1000,1000,15,ClusterR,215495376.496139
21,10000,1000,1000,15,ClusterR,310375109.120366
22,10000,1000,1000,15,ClusterR,271299532.314493
23,10000,1000,1000,15,ClusterR,318818932.127643
24,10000,1000,1000,15,ClusterR,330870469.609584
25,10000,1000,1000,15,ClusterR,335271523.63052
26,10000,1000,1000,15,ClusterR,265687436.633735
27,10000,1000,1000,15,ClusterR,313151217.74966
28,10000,1000,1000,15,ClusterR,335337365.509639
29,10000,1000,1000,15,ClusterR,251969046.563665
30,10000,1000,1000,15,ClusterR,285690786.654849
31,10000,1000,1000,15,ClusterR,328638919.282463
32,10000,1000,1000,15,ClusterR,269308833.008154
33,10000,1000,1000,15,ClusterR,250664712.415748
34,10000,1000,1000,15,ClusterR,312265219.973131
35,10000,1000,1000,15,ClusterR,296968933.705114
36,10000,1000,1000,15,ClusterR,330471872.414689
37,10000,1000,1000,15,ClusterR,311426252.862936
38,10000,1000,1000,15,ClusterR,305768937.687971
39,10000,1000,1000,15,ClusterR,306042800.73007
40,10000,1000,1000,15,ClusterR,247694723.492423
41,10000,1000,1000,15,ClusterR,257508518.213804
42,10000,1000,1000,15,ClusterR,296638567.803771
43,10000,1000,1000,15,ClusterR,257376127.395055
44,10000,1000,1000,15,ClusterR,342818273.606542
45,10000,1000,1000,15,ClusterR,304980200.452652
46,10000,1000,1000,15,ClusterR,239573490.595111
47,10000,1000,1000,15,ClusterR,324127571.62288
48,10000,1000,1000,15,ClusterR,366410473.966601
49,10000,1000,1000,15,ClusterR,284375561.656797
50,10000,1000,1000,15,ClusterR,249337906.727722
