"B","observations","genes","abs_batch","k","method","WCSS"
12,5000,5000,1000,15,hdf5,155115354.031146
13,5000,5000,1000,15,hdf5,120166318.856396
14,5000,5000,1000,15,hdf5,141587742.047204
15,5000,5000,1000,15,hdf5,119279707.757959
16,5000,5000,1000,15,hdf5,117323905.514875
17,5000,5000,1000,15,hdf5,128393666.852659
18,5000,5000,1000,15,hdf5,134995692.024265
19,5000,5000,1000,15,hdf5,121008785.427767
20,5000,5000,1000,15,hdf5,120367929.392126
21,5000,5000,1000,15,hdf5,126437484.781892
22,5000,5000,1000,15,hdf5,119901343.475907
23,5000,5000,1000,15,hdf5,155314068.700256
24,5000,5000,1000,15,hdf5,118349450.346212
25,5000,5000,1000,15,hdf5,150462343.027346
26,5000,5000,1000,15,hdf5,152721066.26188
27,5000,5000,1000,15,hdf5,120616718.561508
28,5000,5000,1000,15,hdf5,159528466.41351
29,5000,5000,1000,15,hdf5,152179557.909217
30,5000,5000,1000,15,hdf5,142983558.063578
31,5000,5000,1000,15,hdf5,116373775.003817
32,5000,5000,1000,15,hdf5,120323752.581434
33,5000,5000,1000,15,hdf5,124018289.705793
34,5000,5000,1000,15,hdf5,183109326.867315
35,5000,5000,1000,15,hdf5,136842325.761097
36,5000,5000,1000,15,hdf5,125210973.915657
37,5000,5000,1000,15,hdf5,125242864.608077
38,5000,5000,1000,15,hdf5,138354690.92954
39,5000,5000,1000,15,hdf5,122927747.486426
40,5000,5000,1000,15,hdf5,122852271.209341
41,5000,5000,1000,15,hdf5,118739074.39541
42,5000,5000,1000,15,hdf5,156230351.788433
43,5000,5000,1000,15,hdf5,116123813.429479
44,5000,5000,1000,15,hdf5,116977003.819118
45,5000,5000,1000,15,hdf5,150865377.10418
46,5000,5000,1000,15,hdf5,118387120.020656
47,5000,5000,1000,15,hdf5,124584293.026108
48,5000,5000,1000,15,hdf5,119279476.17458
49,5000,5000,1000,15,hdf5,155624041.040345
50,5000,5000,1000,15,hdf5,168748223.237021
