B,observations,genes,batch_size,k,initializer,method,ARI,WCSS,iterations,fault
9,1.00E+05,1000,0.001,16,random,hdf5,0.769161624,207004045.8,23,NA
10,1.00E+05,1000,0.001,16,random,hdf5,0.820127693,201833785.8,26,NA
1,1.00E+05,1000,0.001,17,random,hdf5,0.810356371,197959631.8,31,NA
2,1.00E+05,1000,0.001,17,random,hdf5,0.805525194,204343090.1,14,NA
3,1.00E+05,1000,0.001,17,random,hdf5,0.785470096,209294532.8,30,NA
4,1.00E+05,1000,0.001,17,random,hdf5,0.769411515,203383600.7,18,NA
5,1.00E+05,1000,0.001,17,random,hdf5,0.763089373,205619017.5,16,NA
6,1.00E+05,1000,0.001,17,random,hdf5,0.774428669,222618598,35,NA
7,1.00E+05,1000,0.001,17,random,hdf5,0.787703655,212277205.6,15,NA
8,1.00E+05,1000,0.001,17,random,hdf5,0.809565245,197752930.1,27,NA
9,1.00E+05,1000,0.001,17,random,hdf5,0.800003273,200673892.3,16,NA
10,1.00E+05,1000,0.001,17,random,hdf5,0.783570485,217550747,20,NA
1,1.00E+05,1000,0.001,18,random,hdf5,0.758982153,210842080.7,40,NA
2,1.00E+05,1000,0.001,18,random,hdf5,0.813084987,198480364,23,NA
3,1.00E+05,1000,0.001,18,random,hdf5,0.77429678,226284567.3,23,NA
4,1.00E+05,1000,0.001,18,random,hdf5,0.806469237,201692642.3,26,NA
5,1.00E+05,1000,0.001,18,random,hdf5,0.814327034,202938834.3,18,NA
6,1.00E+05,1000,0.001,18,random,hdf5,0.749547874,228910136,31,NA
7,1.00E+05,1000,0.001,18,random,hdf5,0.769906521,208155084,25,NA
8,1.00E+05,1000,0.001,18,random,hdf5,0.783988058,199911548.9,27,NA
9,1.00E+05,1000,0.001,18,random,hdf5,0.808227489,206987697.1,17,NA
10,1.00E+05,1000,0.001,18,random,hdf5,0.797045667,206874900.8,14,NA
1,1.00E+05,1000,0.001,19,random,hdf5,0.816980323,208350652.4,12,NA
2,1.00E+05,1000,0.001,19,random,hdf5,0.810004874,193066587.9,23,NA
3,1.00E+05,1000,0.001,19,random,hdf5,0.770572693,205817358.7,25,NA
4,1.00E+05,1000,0.001,19,random,hdf5,0.802365585,198073304.8,27,NA
5,1.00E+05,1000,0.001,19,random,hdf5,0.776760646,199498632.8,29,NA
6,1.00E+05,1000,0.001,19,random,hdf5,0.746051389,224597786,15,NA
7,1.00E+05,1000,0.001,19,random,hdf5,0.777861884,202526230.8,15,NA
8,1.00E+05,1000,0.001,19,random,hdf5,0.786240022,194597262,21,NA
9,1.00E+05,1000,0.001,19,random,hdf5,0.78262247,201546707.3,13,NA
10,1.00E+05,1000,0.001,19,random,hdf5,0.789631224,197937235.8,27,NA
1,1.00E+05,1000,0.001,20,random,hdf5,0.753758487,204584202.9,29,NA
2,1.00E+05,1000,0.001,20,random,hdf5,0.779965115,200132838.5,14,NA
3,1.00E+05,1000,0.001,20,random,hdf5,0.80630525,200172640,20,NA
4,1.00E+05,1000,0.001,20,random,hdf5,0.758565427,194895882.4,22,NA
5,1.00E+05,1000,0.001,20,random,hdf5,0.785219594,198235754.8,20,NA
6,1.00E+05,1000,0.001,20,random,hdf5,0.784608556,202163949.7,22,NA
7,1.00E+05,1000,0.001,20,random,hdf5,0.776318391,200954042.8,24,NA
8,1.00E+05,1000,0.001,20,random,hdf5,0.790686851,206337396.5,36,NA
9,1.00E+05,1000,0.001,20,random,hdf5,0.788612188,196600938,20,NA
10,1.00E+05,1000,0.001,20,random,hdf5,0.74515483,206099195.2,26,NA
1,1.00E+05,1000,0.2,2,random,hdf5,0.117249098,3843570821,29,NA
2,1.00E+05,1000,0.2,2,random,hdf5,0.087485577,3277360340,41,NA
3,1.00E+05,1000,0.2,2,random,hdf5,0.08688863,3658010292,17,NA
4,1.00E+05,1000,0.2,2,random,hdf5,0.087466195,3594286388,44,NA
5,1.00E+05,1000,0.2,2,random,hdf5,0.089252155,3774027297,36,NA
6,1.00E+05,1000,0.2,2,random,hdf5,0.087821863,3478448136,18,NA
7,1.00E+05,1000,0.2,2,random,hdf5,0.087431115,3499755695,12,NA
8,1.00E+05,1000,0.2,2,random,hdf5,0.087608918,3569690100,27,NA
9,1.00E+05,1000,0.2,2,random,hdf5,0.087480427,3514124035,17,NA
10,1.00E+05,1000,0.2,2,random,hdf5,0.087673049,3839227465,17,NA
1,1.00E+05,1000,0.2,3,random,hdf5,0.224014452,1614887789,32,NA
2,1.00E+05,1000,0.2,3,random,hdf5,0.225712771,1595568416,15,NA
3,1.00E+05,1000,0.2,3,random,hdf5,0.223556399,1701212716,42,NA
4,1.00E+05,1000,0.2,3,random,hdf5,0.216715672,1755321364,27,NA
5,1.00E+05,1000,0.2,3,random,hdf5,0.223980028,1699726129,37,NA
6,1.00E+05,1000,0.2,3,random,hdf5,0.225023139,1730583862,27,NA
7,1.00E+05,1000,0.2,3,random,hdf5,0.224092075,1717684074,19,NA
8,1.00E+05,1000,0.2,3,random,hdf5,0.223936422,1610756539,15,NA
9,1.00E+05,1000,0.2,3,random,hdf5,0.224734775,1610513676,23,NA
10,1.00E+05,1000,0.2,3,random,hdf5,0.223032345,1735973966,24,NA
1,1.00E+05,1000,0.2,4,random,hdf5,0.346623122,1167910478,16,NA
2,1.00E+05,1000,0.2,4,random,hdf5,0.345749987,1147501689,15,NA
3,1.00E+05,1000,0.2,4,random,hdf5,0.345789063,1141457895,47,NA
4,1.00E+05,1000,0.2,4,random,hdf5,0.332534412,1145601699,19,NA
5,1.00E+05,1000,0.2,4,random,hdf5,0.345438473,1209473241,25,NA
6,1.00E+05,1000,0.2,4,random,hdf5,0.346481509,1121357020,13,NA
7,1.00E+05,1000,0.2,4,random,hdf5,0.331534036,1186516432,18,NA
8,1.00E+05,1000,0.2,4,random,hdf5,0.344598937,1151140853,16,NA
9,1.00E+05,1000,0.2,4,random,hdf5,0.346616399,1180101785,15,NA
10,1.00E+05,1000,0.2,4,random,hdf5,0.346221755,1157668672,14,NA
1,1.00E+05,1000,0.2,5,random,hdf5,0.419935354,750983684.7,22,NA
2,1.00E+05,1000,0.2,5,random,hdf5,0.418701073,740435795.3,36,NA
3,1.00E+05,1000,0.2,5,random,hdf5,0.419674534,732671776.2,41,NA
4,1.00E+05,1000,0.2,5,random,hdf5,0.419927441,738572058.5,26,NA
5,1.00E+05,1000,0.2,5,random,hdf5,0.421738438,741532090.1,31,NA
6,1.00E+05,1000,0.2,5,random,hdf5,0.417432729,749665700.6,17,NA
7,1.00E+05,1000,0.2,5,random,hdf5,0.420466548,728796905.8,45,NA
8,1.00E+05,1000,0.2,5,random,hdf5,0.422222008,792602140.9,34,NA
9,1.00E+05,1000,0.2,5,random,hdf5,0.420952337,708992086.4,25,NA
10,1.00E+05,1000,0.2,5,random,hdf5,0.421489137,732635246.8,21,NA
1,1.00E+05,1000,0.2,6,random,hdf5,0.4611699,571689905.8,38,NA
2,1.00E+05,1000,0.2,6,random,hdf5,0.461542153,542818630.7,26,NA
3,1.00E+05,1000,0.2,6,random,hdf5,0.463291969,553215949.4,28,NA
4,1.00E+05,1000,0.2,6,random,hdf5,0.462220106,541238417,35,NA
5,1.00E+05,1000,0.2,6,random,hdf5,0.461387936,550228560.7,37,NA
6,1.00E+05,1000,0.2,6,random,hdf5,0.462387166,570310708.3,15,NA
7,1.00E+05,1000,0.2,6,random,hdf5,0.462837834,550002746.7,14,NA
8,1.00E+05,1000,0.2,6,random,hdf5,0.463197841,561059766.4,27,NA
9,1.00E+05,1000,0.2,6,random,hdf5,0.464235132,539198812.3,26,NA
10,1.00E+05,1000,0.2,6,random,hdf5,0.462348024,565649497.8,39,NA
1,1.00E+05,1000,0.2,7,random,hdf5,0.55518183,402077079.3,20,NA
2,1.00E+05,1000,0.2,7,random,hdf5,0.557306588,404946075.9,13,NA
3,1.00E+05,1000,0.2,7,random,hdf5,0.555945949,423353545,24,NA
4,1.00E+05,1000,0.2,7,random,hdf5,0.557746479,381802369.5,24,NA
5,1.00E+05,1000,0.2,7,random,hdf5,0.555952364,418412823.5,27,NA
6,1.00E+05,1000,0.2,7,random,hdf5,0.556792796,394793283.4,27,NA
7,1.00E+05,1000,0.2,7,random,hdf5,0.521239646,533651785.1,41,NA
8,1.00E+05,1000,0.2,7,random,hdf5,0.554690038,412209812.8,39,NA
9,1.00E+05,1000,0.2,7,random,hdf5,0.55538094,394650127.3,34,NA
10,1.00E+05,1000,0.2,7,random,hdf5,0.55428966,407887200.3,34,NA
1,1.00E+05,1000,0.2,8,random,hdf5,0.599969145,368527417.3,37,NA
2,1.00E+05,1000,0.2,8,random,hdf5,0.582159511,323271476.2,36,NA
3,1.00E+05,1000,0.2,8,random,hdf5,0.61014869,370958700.9,32,NA
4,1.00E+05,1000,0.2,8,random,hdf5,0.583113507,333374990.5,23,NA
5,1.00E+05,1000,0.2,8,random,hdf5,0.583280473,341026594.8,25,NA
6,1.00E+05,1000,0.2,8,random,hdf5,0.581512595,345328369.8,24,NA
7,1.00E+05,1000,0.2,8,random,hdf5,0.582848327,337905271.3,29,NA
8,1.00E+05,1000,0.2,8,random,hdf5,0.582687264,338442468.9,28,NA
9,1.00E+05,1000,0.2,8,random,hdf5,0.583985086,328833734.1,32,NA
10,1.00E+05,1000,0.2,8,random,hdf5,0.583953082,323161850.7,32,NA
1,1.00E+05,1000,0.2,9,random,hdf5,0.612591398,315921802.1,21,NA
2,1.00E+05,1000,0.2,9,random,hdf5,0.643830677,306580791.5,15,NA
3,1.00E+05,1000,0.2,9,random,hdf5,0.64402021,292576693.6,20,NA
4,1.00E+05,1000,0.2,9,random,hdf5,0.614311199,311655497,21,NA
5,1.00E+05,1000,0.2,9,random,hdf5,0.633072479,299753402.8,17,NA
6,1.00E+05,1000,0.2,9,random,hdf5,0.642687764,309184006.8,32,NA
7,1.00E+05,1000,0.2,9,random,hdf5,0.643213886,306496757.8,29,NA
8,1.00E+05,1000,0.2,9,random,hdf5,0.642979439,295976623.4,40,NA
9,1.00E+05,1000,0.2,9,random,hdf5,0.643938462,295766235.3,32,NA
10,1.00E+05,1000,0.2,9,random,hdf5,0.64295917,303313211.9,34,NA
1,1.00E+05,1000,0.2,10,random,hdf5,0.625417194,291549452.9,25,NA
2,1.00E+05,1000,0.2,10,random,hdf5,0.675694491,267923527.2,16,NA
3,1.00E+05,1000,0.2,10,random,hdf5,0.70327773,275542488.4,35,NA
4,1.00E+05,1000,0.2,10,random,hdf5,0.675188643,262541038.8,24,NA
5,1.00E+05,1000,0.2,10,random,hdf5,0.625788344,297811807.8,17,NA
6,1.00E+05,1000,0.2,10,random,hdf5,0.676864159,262316615.3,36,NA
